Timestamp,"Which of the following movements are you familiar with?
(You may select more than one)",Q1. How much public support did this movement have?,Q2.How non-violent was this movement overall?,Q3.How inclusive was this movement across different groups of people?,Q4.How clear and well-organized was the movement?,Q5.How much property or economic damage was caused by this movement?,Q6.How much social or political instability did this movement create?,Q7.How much misinformation or rumors were associated with this movement?,"Q8.Considering all aspects, how positive and constructive was this movement overall?",Q1. How much public support did this movement have?,Q2.How non-violent was this movement overall?,Q3.How inclusive was this movement across different groups of people?,Q4.How clear and well-organized was the movement?,Q5.How much property or economic damage was caused by this movement?,Q6.How much social or political instability did this movement create?,Q7.How much misinformation or rumors were associated with this movement?,"Q8.Considering all aspects, how positive and constructive was this movement overall?",Q1. How much public support did this movement have?,Q2.How non-violent was this movement overall?,Q3.How inclusive was this movement across different groups of people?,Q4.How clear and well-organized was the movement?,Q5.How much property or economic damage was caused by this movement?,Q6.How much social or political instability did this movement create?,Q7.How much misinformation or rumors were associated with this movement?,"Q8.Considering all aspects, how positive and constructive was this movement overall?",Q1. How much public support did this movement have?,Q2.How non-violent was this movement overall?,Q3.How inclusive was this movement across different groups of people?,Q4.How clear and well-organized was the movement?,Q5.How much property or economic damage was caused by this movement?,Q6.How much social or political instability did this movement create?,Q7.How much misinformation or rumors were associated with this movement?,"Q8.Considering all aspects, how positive and constructive was this movement overall?"
2025/12/27 3:47:05 pm GMT+6,Language Movement (1952);Mass Uprising (1969);Liberation War (1971);July Revolution,5,2,2,4,2,4,2,9,5,4,5,4,3,5,3,7,4,5,5,5,5,5,2,9,4,4,4,2,4,5,4,5
2025/12/27 3:51:48 pm GMT+6,Language Movement (1952);Mass Uprising (1969);Liberation War (1971);July Revolution,4,4,4,4,3,3,3,9,5,2,5,5,4,2,4,7,4,4,5,4,4,4,4,9,5,5,5,3,3,4,4,6
2025/12/27 4:11:40 pm GMT+6,July Revolution,5,5,5,5,3,3,2,10,3,3,3,3,3,3,3,8,5,5,5,5,4,5,2,10,5,5,5,5,4,5,3,10
2025/12/27 4:14:16 pm GMT+6,July Revolution,5,4,3,5,1,4,1,10,4,3,3,4,2,3,2,7,5,5,3,5,4,5,3,10,5,5,3,4,4,5,5,10
2025/12/27 4:14:34 pm GMT+6,July Revolution,5,3,5,4,4,2,5,10,5,4,4,4,4,4,5,10,4,4,4,4,4,4,4,10,4,3,4,4,4,4,5,10
2025/12/27 4:34:47 pm GMT+6,July Revolution,5,4,4,3,3,4,5,10,5,4,5,3,3,4,5,10,5,5,5,4,5,5,2,10,5,4,5,5,3,4,5,10
2025/12/27 4:44:46 pm GMT+6,Language Movement (1952);Mass Uprising (1969);Liberation War (1971);July Revolution,5,4,5,4,3,4,2,10,5,3,5,4,2,4,2,10,5,5,5,5,4,5,4,10,5,4,5,5,3,4,4,10
2025/12/27 4:59:42 pm GMT+6,Language Movement (1952);Mass Uprising (1969);Liberation War (1971);July Revolution,5,4,4,4,5,4,5,7,4,4,4,4,5,5,5,7,,,,,,,,,4,4,4,4,5,5,5,7
2025/12/27 5:04:57 pm GMT+6,July Revolution,3,4,5,2,2,3,2,6,4,3,5,3,2,4,3,7,5,5,4,4,4,5,4,5,5,5,4,5,4,4,3,8
2025/12/27 5:12:06 pm GMT+6,Language Movement (1952);Mass Uprising (1969);Liberation War (1971);July Revolution,4,4,2,4,3,4,3,8,4,2,1,4,1,4,2,8,4,5,2,3,4,5,3,9,4,5,2,5,4,5,4,9
